Class,Biological Process,Gene
Adaptive Immunity,Cancer Antigens,PASD1 
Adaptive Immunity,Cancer Antigens,PRAME 
Adaptive Immunity,Cancer Antigens,PRM1
Adaptive Immunity,MHC Class I Antigen Presentation,ATG7 
Adaptive Immunity,MHC Class I Antigen Presentation,B2M 
Adaptive Immunity,MHC Class I Antigen Presentation,BTK 
Adaptive Immunity,MHC Class I Antigen Presentation,CD14 
Adaptive Immunity,MHC Class I Antigen Presentation,CD207 
Adaptive Immunity,MHC Class I Antigen Presentation,CD36 
Adaptive Immunity,MHC Class I Antigen Presentation,CDC20 
Adaptive Immunity,MHC Class I Antigen Presentation,CHUK 
Adaptive Immunity,MHC Class I Antigen Presentation,CTSL 
Adaptive Immunity,MHC Class I Antigen Presentation,CTSS 
Adaptive Immunity,MHC Class I Antigen Presentation,CUL1 
Adaptive Immunity,MHC Class I Antigen Presentation,CYBB 
Adaptive Immunity,MHC Class I Antigen Presentation,DTX3L 
Adaptive Immunity,MHC Class I Antigen Presentation,ELOB 
Adaptive Immunity,MHC Class I Antigen Presentation,FBXW7 
Adaptive Immunity,MHC Class I Antigen Presentation,FCGR1A 
Adaptive Immunity,MHC Class I Antigen Presentation,HERC6 
Adaptive Immunity,MHC Class I Antigen Presentation,HLA-A 
Adaptive Immunity,MHC Class I Antigen Presentation,HLA-B 
Adaptive Immunity,MHC Class I Antigen Presentation,HLA-C 
Adaptive Immunity,MHC Class I Antigen Presentation,HLA-E 
Adaptive Immunity,MHC Class I Antigen Presentation,HLA-F 
Adaptive Immunity,MHC Class I Antigen Presentation,HLA-G 
Adaptive Immunity,MHC Class I Antigen Presentation,IKBKB 
Adaptive Immunity,MHC Class I Antigen Presentation,IKBKG 
Adaptive Immunity,MHC Class I Antigen Presentation,ITCH 
Adaptive Immunity,MHC Class I Antigen Presentation,ITGAV 
Adaptive Immunity,MHC Class I Antigen Presentation,KBTBD8 
Adaptive Immunity,MHC Class I Antigen Presentation,KEAP1 
Adaptive Immunity,MHC Class I Antigen Presentation,LY96 
Adaptive Immunity,MHC Class I Antigen Presentation,MR1 
Adaptive Immunity,MHC Class I Antigen Presentation,MRC1 
Adaptive Immunity,MHC Class I Antigen Presentation,MYD88 
Adaptive Immunity,MHC Class I Antigen Presentation,NCF4 
Adaptive Immunity,MHC Class I Antigen Presentation,PSMB10 
Adaptive Immunity,MHC Class I Antigen Presentation,PSMB2 
Adaptive Immunity,MHC Class I Antigen Presentation,PSMB5 
Adaptive Immunity,MHC Class I Antigen Presentation,PSMB7 
Adaptive Immunity,MHC Class I Antigen Presentation,PSMB8 
Adaptive Immunity,MHC Class I Antigen Presentation,PSMB9 
Adaptive Immunity,MHC Class I Antigen Presentation,PSMC4 
Adaptive Immunity,MHC Class I Antigen Presentation,PSMD7 
Adaptive Immunity,MHC Class I Antigen Presentation,RBX1 
Adaptive Immunity,MHC Class I Antigen Presentation,RPS27A 
Adaptive Immunity,MHC Class I Antigen Presentation,SKP1 
Adaptive Immunity,MHC Class I Antigen Presentation,SKP2 
Adaptive Immunity,MHC Class I Antigen Presentation,SOCS1 
Adaptive Immunity,MHC Class I Antigen Presentation,SOCS3 
Adaptive Immunity,MHC Class I Antigen Presentation,TAP1 
Adaptive Immunity,MHC Class I Antigen Presentation,TAP2 
Adaptive Immunity,MHC Class I Antigen Presentation,TAPBP 
Adaptive Immunity,MHC Class I Antigen Presentation,TAPBPL 
Adaptive Immunity,MHC Class I Antigen Presentation,TIRAP 
Adaptive Immunity,MHC Class I Antigen Presentation,TLR1 
Adaptive Immunity,MHC Class I Antigen Presentation,TLR2 
Adaptive Immunity,MHC Class I Antigen Presentation,TLR4 
Adaptive Immunity,MHC Class I Antigen Presentation,TLR6 
Adaptive Immunity,MHC Class I Antigen Presentation,TRAF7 
Adaptive Immunity,MHC Class I Antigen Presentation,TRIM21 
Adaptive Immunity,MHC Class I Antigen Presentation,UBA7 
Adaptive Immunity,MHC Class I Antigen Presentation,UBB 
Adaptive Immunity,MHC Class I Antigen Presentation,UBC 
Adaptive Immunity,MHC Class I Antigen Presentation,UBE2C 
Adaptive Immunity,MHC Class I Antigen Presentation,VHL 
Adaptive Immunity,MHC Class I Antigen Presentation,ZBTB16
Adaptive Immunity,MHC Class II Antigen Presentation,CD74 
Adaptive Immunity,MHC Class II Antigen Presentation,CTSH 
Adaptive Immunity,MHC Class II Antigen Presentation,CTSL 
Adaptive Immunity,MHC Class II Antigen Presentation,CTSS 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DMA 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DMB 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DOA 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DOB 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DPA1 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DPB1 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DQA1 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DQA2 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DQB1 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DRA 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DRB 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DRB3 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DRB4 
Adaptive Immunity,MHC Class II Antigen Presentation,HLA-DRB5 
Adaptive Immunity,MHC Class II Antigen Presentation,KIF2C 
Adaptive Immunity,MHC Class II Antigen Presentation,LAG3 
Adaptive Immunity,MHC Class II Antigen Presentation,RAB7A
Adaptive Immunity,T cells,ADA 
Adaptive Immunity,T cells,AICDA 
Adaptive Immunity,T cells,AIRE 
Adaptive Immunity,T cells,BLVRA 
Adaptive Immunity,T cells,CCR1 
Adaptive Immunity,T cells,CCR4 
Adaptive Immunity,T cells,CCR5 
Adaptive Immunity,T cells,CD1C 
Adaptive Immunity,T cells,CD1D 
Adaptive Immunity,T cells,CD1E 
Adaptive Immunity,T cells,CD2 
Adaptive Immunity,T cells,CD247 
Adaptive Immunity,T cells,CD27 
Adaptive Immunity,T cells,CD274 
Adaptive Immunity,T cells,CD276 
Adaptive Immunity,T cells,CD38 
Adaptive Immunity,T cells,CD3E 
Adaptive Immunity,T cells,CD3G 
Adaptive Immunity,T cells,CD4 
Adaptive Immunity,T cells,CD44 
Adaptive Immunity,T cells,CD47 
Adaptive Immunity,T cells,CD5 
Adaptive Immunity,T cells,CD69 
Adaptive Immunity,T cells,CD7 
