Endpoint,BP,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,BP ZPH P-value
DSS,Treg Differentiation,0.919584493,0.361549207,1.977373475,2.338922681,0.476296395,-0.176010883,0.860285392,0.930512771,0.323129046,0.976239233,0.323129046
DSS,Type I Interferon Signaling,0.751343587,0.327741007,1.394708042,1.722449048,0.423293171,-0.675400044,0.499421637,0.732629055,0.27393487,1.196936322,0.27393487
DSS,Type II Interferon Signaling,0.663248835,0.297826608,1.179204005,1.477030613,0.408496676,-1.005161282,0.314819195,0.693778006,0.524357572,0.405313992,0.524357572
DSS,Type III Interferon Signaling,0.944307284,0.397212552,1.847722163,2.244934715,0.441834697,-0.129694778,0.896807914,0.938979833,0.215951972,1.531069705,0.215951972
DSS,VEGF Signaling,0.112398313,0.015116386,0.820624423,0.835740809,1.023625749,-2.135259254,0.032739839,0.693778006,0.271234395,1.210493566,0.271234395
DSS,Vitamin & Cofactor Metabolism,0.787008575,0.409352697,1.10372515,1.513077848,0.333507159,-0.718173891,0.472650074,0.732629055,0.95615501,0.003022716,0.95615501
DSS,Wnt Signaling,0.365342828,0.075595468,1.690057759,1.765653227,0.803810604,-1.252682046,0.210321442,0.693778006,0.33628942,0.924525893,0.33628942
OS,Amino Acid Synthesis & Transport,1.172557276,0.264146011,4.940894038,5.205040049,0.760442711,0.20933473,0.834186941,0.88404024,0.487562961,0.481899983,0.487562961
OS,AMPK Signaling,0.793627575,0.255336511,2.211387599,2.46672411,0.578598374,-0.399484317,0.689536377,0.821245573,0.905820035,0.013997853,0.905820035
OS,Androgen Signaling,0.155052148,0.026903344,0.866709316,0.89361266,0.893644438,-2.085833804,0.03699368,0.490166263,0.990103215,0.000153862,0.990103215
OS,Angiotensin System,0.901844753,0.586712343,0.799527384,1.386239727,0.219344713,-0.471006968,0.637635759,0.777413053,0.429114503,0.62521888,0.429114503
OS,Apoptosis,0.097446114,0.011011603,0.851328363,0.862339966,1.112443932,-2.093099408,0.036340282,0.490166263,0.807537117,0.059343168,0.807537117
OS,Arginine Metabolism,0.735868353,0.398912402,0.958534069,1.357446471,0.312408488,-0.981740435,0.32622774,0.588804647,0.832276335,0.044852037,0.832276335
OS,Autophagy,0.188458712,0.022408319,1.562569385,1.584977704,1.086472348,-1.536050444,0.124526009,0.5715297,0.156529935,2.007433421,0.156529935
OS,B cells,0.807127122,0.507852217,0.774911094,1.282763311,0.236377143,-0.906492467,0.36467525,0.609046194,0.809112313,0.058356724,0.809112313
OS,BCR Signaling,0.231037507,0.044163548,1.164487767,1.208651315,0.844240173,-1.735495725,0.082653038,0.554403101,0.511630187,0.430731588,0.511630187
OS,Cancer Antigens,0.804899231,0.479598561,0.871245299,1.350843861,0.264172032,-0.821578981,0.411316556,0.609046194,0.967108909,0.001700288,0.967108909
OS,Cell Adhesion & Motility,0.518965235,0.140478333,1.776720628,1.917198961,0.666738593,-0.983771436,0.325227907,0.588804647,0.634194537,0.226415469,0.634194537
OS,Cell Cycle,0.863668904,0.240166286,2.865698362,3.105864647,0.653000745,-0.224449661,0.822407432,0.88404024,0.246906322,1.340724043,0.246906322
OS,Chemokine Signaling,0.483252627,0.175521298,1.154990181,1.330511479,0.516733558,-1.407332102,0.159328934,0.5715297,0.98228793,0.000492867,0.98228793
OS,Cilium Assembly,0.944908739,0.342520271,2.264194134,2.606714405,0.517742936,-0.109449932,0.912845632,0.939433369,0.237582435,1.394881638,0.237582435
OS,Circadian Clock,0.273562458,0.068114608,1.030569232,1.098683839,0.709369295,-1.827292675,0.067655776,0.554403101,0.878853599,0.023232662,0.878853599
OS,Complement System,0.824493237,0.4650552,0.996683316,1.461738516,0.292154772,-0.660561996,0.508893248,0.657837613,0.613853042,0.254602152,0.613853042
OS,Cytotoxicity,0.766593433,0.50972063,0.643196198,1.152916828,0.208214946,-1.276559138,0.201757936,0.579584627,0.777479036,0.079866037,0.777479036
OS,Dendritic Cells,0.798471609,0.485892948,0.826241573,1.312134521,0.253428679,-0.888044195,0.374516979,0.609046194,0.846179344,0.037634285,0.846179344
OS,Differentiation,0.420793799,0.068091783,2.532330962,2.600422745,0.929244819,-0.931522388,0.351583409,0.609046194,0.941116251,0.005456327,0.941116251
OS,DNA Damage Repair,0.830763598,0.230423139,2.764797566,2.995220705,0.654311984,-0.283366357,0.776896015,0.877792198,0.218530486,1.51399506,0.218530486
OS,DNA Sensing,0.281236553,0.086567052,0.827106187,0.913673239,0.601172709,-2.110140925,0.034846219,0.490166263,0.9635872,0.002084153,0.9635872
OS,EGFR Signaling,0.227247719,0.061878029,0.772691635,0.834569664,0.663724199,-2.232425136,0.025586878,0.490166263,0.276871825,1.182380897,0.276871825
OS,EMT,0.65598808,0.109397256,3.824159914,3.93355717,0.913872308,-0.461347452,0.644549346,0.777413053,0.788038328,0.072285065,0.788038328
OS,Endocytosis,0.312420774,0.08901942,1.00744627,1.09646569,0.64057114,-1.816198535,0.069339923,0.554403101,0.907498728,0.013501064,0.907498728
OS,Epigenetic Modification,0.395681242,0.109204553,1.324468688,1.433673241,0.656841757,-1.411521613,0.158090867,0.5715297,0.858454851,0.031805662,0.858454851
OS,ERBB2 Signaling,0.293499883,0.046925354,1.788802538,1.835727892,0.935384082,-1.31056115,0.190006072,0.579584627,0.705099155,0.143221524,0.705099155
OS,Estrogen Signaling,0.279658468,0.04155302,1.840593165,1.882146186,0.972772411,-1.309850241,0.190246503,0.579584627,0.434515143,0.610724529,0.434515143
OS,Fatty Acid Oxidation,0.783121319,0.497491434,0.735251402,1.232742836,0.231488584,-1.056067859,0.290937213,0.588804647,0.882189869,0.021961386,0.882189869
OS,Fatty Acid Synthesis,0.923151278,0.424946121,1.580504075,2.005450196,0.39583928,-0.202006631,0.83991154,0.88404024,0.121190596,2.401866239,0.121190596
OS,FGFR Signaling,0.456547504,0.165044463,1.097861422,1.262905885,0.519130889,-1.510336871,0.130957488,0.5715297,0.702381011,0.146006779,0.702381011
OS,FoxO Signaling,0.35561066,0.07012488,1.733214267,1.803339148,0.828361561,-1.248149174,0.211976433,0.579584627,0.865933911,0.028502045,0.865933911
OS,Glioma,0.461685539,0.08628324,2.384110051,2.470393291,0.855754825,-0.903145677,0.366448584,0.609046194,0.793041114,0.068834672,0.793041114
OS,Glutamine Metabolism,1.118471148,0.37108859,3.000014001,3.371102591,0.562906855,0.198900947,0.842340229,0.88404024,0.750984978,0.100705221,0.750984978
OS,Glycan Sensing,0.209868086,0.052776533,0.781772672,0.834549205,0.70430505,-2.216761198,0.026639414,0.490166263,0.760344293,0.093042509,0.760344293
OS,Glycolysis & Glucose Transport,0.903498145,0.220621295,3.479424521,3.700045816,0.719312414,-0.141080872,0.887806055,0.922621978,0.190307156,1.715238144,0.190307156
OS,Glycosylation,0.205547416,0.043988367,0.916486947,0.960475314,0.786622382,-2.011230004,0.044301168,0.521769311,0.400145739,0.707888297,0.400145739
OS,GPCR Signaling,0.718112088,0.335370786,1.202285424,1.53765621,0.388470876,-0.852392369,0.393996354,0.609046194,0.891164759,0.018722591,0.891164759
OS,Hedgehog Signaling,0.150869098,0.020405515,1.095051983,1.115457498,1.020736793,-1.852919119,0.063893952,0.554403101,0.739365708,0.11068492,0.739365708
OS,HIF-1 Signaling,0.977921008,0.153939363,6.058438552,6.212377915,0.943318416,-0.023667916,0.981117498,0.981117498,0.639817504,0.218980922,0.639817504
OS,Host Defense Peptides,0.805281586,0.453781277,0.975273787,1.429055065,0.29264655,-0.740016468,0.459290002,0.63480807,0.636594218,0.223224103,0.636594218
OS,IDH1/2,0.499593491,0.185883072,1.15686241,1.342745482,0.504436267,-1.375714983,0.168909891,0.5715297,0.093276135,2.816904436,0.093276135
OS,IL-1 Signaling,0.447071452,0.174185632,0.973284922,1.147470554,0.480925598,-1.673932211,0.094143923,0.554403101,0.95857371,0.002698128,0.95857371
OS,IL-17 Signaling,0.454604147,0.109589932,1.776212225,1.885802158,0.725871258,-1.086044166,0.277459453,0.588804647,0.581320842,0.30410417,0.581320842
OS,IL-2 Signaling,0.562632733,0.246696336,1.036482802,1.283179138,0.420655129,-1.367220231,0.171556286,0.5715297,0.367580003,0.811829189,0.367580003
OS,IL-6 Signaling,0.395293763,0.148596996,0.90295292,1.051549916,0.499188394,-1.859270164,0.062988854,0.554403101,0.200025847,1.642185684,0.200025847
OS,Immortality & Stemness,0.798287284,0.166204762,3.667996989,3.834201751,0.80065145,-0.281379296,0.778419496,0.877792198,0.529724838,0.394919374,0.529724838
OS,Immune Exhaustion,0.822891847,0.510797135,0.814877866,1.325675001,0.243296442,-0.801205715,0.423012563,0.609046194,0.906659219,0.01374837,0.906659219
OS,Inflammasomes,0.70366137,0.249861687,1.731791961,1.981653648,0.528269768,-0.665300323,0.505858424,0.657837613,0.738299905,0.111626525,0.738299905
OS,Insulin Signaling,0.473667139,0.147688857,1.371454584,1.519143441,0.594601279,-1.256725252,0.208853141,0.579584627,0.796857438,0.06626314,0.796857438
OS,Interferon Response Genes,0.803686118,0.220882924,2.703342114,2.924225038,0.658979449,-0.331643857,0.740158199,0.862162298,0.940917324,0.005493323,0.940917324
OS,Ion Transport,0.664876116,0.243826539,1.569184674,1.813011213,0.511817396,-0.797461262,0.425183192,0.609046194,0.651278445,0.204292127,0.651278445
OS,JAK/STAT Signaling,0.682908588,0.289772353,1.319643223,1.609415576,0.437388335,-0.871980885,0.383218806,0.609046194,0.575281453,0.313925204,0.575281453
OS,Leukemia,0.281581693,0.03242263,2.413037511,2.445460141,1.102860046,-1.149132814,0.250501219,0.588804647,0.897871541,0.016473871,0.897871541
OS,Lipid Metabolism,0.658114513,0.299082822,1.149060233,1.448143055,0.402384136,-1.039743601,0.298459038,0.588804647,0.678907479,0.171358272,0.678907479
OS,Lmyphocyte Trafficking,0.607034425,0.262548317,1.140967793,1.40351611,0.427635599,-1.167278352,0.243097978,0.588804647,0.580281497,0.305779788,0.580281497
OS,Lymphocyte Regulation,0.800350837,0.465626328,0.910072218,1.375698546,0.276365658,-0.805834932,0.420338033,0.609046194,0.745971886,0.104947028,0.745971886
OS,Lysosome,0.80601167,0.32167869,1.697898083,2.019576774,0.468654035,-0.460162597,0.645399516,0.777413053,0.575379861,0.313763534,0.575379861
OS,MAPK Signaling,0.557621342,0.201189307,1.344328027,1.545517333,0.520128865,-1.122943148,0.261461641,0.588804647,0.792268768,0.069361463,0.792268768
OS,Matrix Remodeling and Metastasis,0.692705543,0.295372974,1.329152667,1.624525641,0.43488867,-0.844239679,0.398535486,0.609046194,0.397885706,0.714706731,0.397885706
OS,Melanoma,0.625200568,0.214410194,1.60861764,1.823027833,0.54602102,-0.86019174,0.389683357,0.609046194,0.951711027,0.003667301,0.951711027
OS,MET Signaling,0.295562,0.042375907,2.019099617,2.061475524,0.99098691,-1.229962414,0.21871118,0.579584627,0.87660822,0.02410887,0.87660822
OS,MHC Class I Antigen Presentation,0.198470571,0.048253917,0.768064638,0.816318555,0.721525418,-2.241243908,0.02501028,0.490166263,0.522873882,0.408220916,0.522873882
OS,MHC Class II Antigen Presentation,0.859757564,0.370416743,1.625127687,1.99554443,0.429610824,-0.351724918,0.725044571,0.853941384,0.223314236,1.48294552,0.223314236
OS,Mitochondrial Metabolism,0.626854722,0.216347802,1.599925986,1.816273789,0.542779107,-0.860461396,0.389534755,0.609046194,0.35460197,0.856920267,0.35460197
OS,mTOR Signaling,0.637685046,0.173185818,2.174825256,2.348011073,0.665052728,-0.676503919,0.498720759,0.657837613,0.64003083,0.218701848,0.64003083
OS,Myc,0.964597217,0.22180134,3.973158853,4.194960193,0.749977305,-0.048060996,0.961667631,0.97082637,0.844275519,0.03858379,0.844275519
OS,Myeloid Inflammation,0.142250466,0.025870403,0.756305092,0.782175494,0.869653624,-2.242462832,0.024931475,0.490166263,0.72045479,0.128057369,0.72045479
OS,Neuroendocrine Function,1.562194531,0.509725748,4.278048395,4.787774142,0.571425822,0.780664027,0.435000123,0.614800174,0.923745967,0.009161593,0.923745967
OS,Neutrophil Degranulation,0.58704698,0.232362955,1.250765701,1.483128656,0.472867996,-1.126425202,0.259985584,0.588804647,0.596645417,0.280085141,0.596645417
OS,NF-kB Signaling,0.694390146,0.334526168,1.106848891,1.441375059,0.372618513,-0.978806186,0.327675752,0.588804647,0.758837156,0.094254015,0.758837156
OS,NK Activity,0.542156156,0.23109042,1.040850227,1.271940646,0.435081979,-1.40709392,0.159399541,0.5715297,0.981668447,0.000527952,0.981668447
OS,NLR Signaling,0.473959104,0.17859032,1.079245116,1.257835435,0.497981893,-1.499320056,0.133790622,0.5715297,0.716370839,0.131996573,0.716370839
OS,NO Signaling,0.937214143,0.499306451,1.259874405,1.759180856,0.32127721,-0.20183032,0.840049377,0.88404024,0.541993588,0.371857354,0.541993588
OS,Notch Signaling,0.097092467,0.006563994,1.429596256,1.43616025,1.374547986,-1.696624281,0.089767716,0.554403101,0.712733364,0.135562101,0.712733364
OS,Nucleotide Synthesis,0.49887371,0.126819454,1.835615893,1.962435347,0.698782497,-0.995162736,0.319657122,0.588804647,0.67592506,0.174749222,0.67592506
OS,Other Interleukin Signaling,0.671801141,0.314292912,1.12168212,1.435975032,0.387577013,-1.026358349,0.304722703,0.588804647,0.524741196,0.404564749,0.524741196
OS,Oxidative Stress,0.264978201,0.058267241,1.146757153,1.205024394,0.772773143,-1.718625615,0.085682564,0.554403101,0.776964151,0.080246122,0.776964151
OS,p53 Signaling,0.76520153,0.126639282,4.496992294,4.623631576,0.917770178,-0.291593744,0.770597259,0.877792198,0.789591445,0.071204217,0.789591445
OS,PDGF Signaling,0.390349527,0.087446028,1.65503167,1.742477698,0.763289935,-1.232444808,0.217782972,0.579584627,0.270419028,1.214620207,0.270419028
OS,Pentose Phosphate,0.463307536,0.170773963,1.086173342,1.256947305,0.509218657,-1.510872019,0.130821061,0.5715297,0.49739665,0.460486595,0.49739665
OS,Phagocytosis,0.481900978,0.172355099,1.17502919,1.347384289,0.524592178,-1.391588851,0.164046937,0.5715297,0.504583815,0.445282418,0.504583815
OS,PI3K/Akt Signaling,0.748933694,0.304047484,1.540735673,1.844783157,0.459940373,-0.628570228,0.529630456,0.676395523,0.709464009,0.138812905,0.709464009
OS,PPAR Signaling,0.745909799,0.41469042,0.92698858,1.341679,0.299532246,-0.978694626,0.327730888,0.588804647,0.742410829,0.108019015,0.742410829
OS,Prostate Cancer,0.475763192,0.112894986,1.892071072,2.004966058,0.733922759,-1.012143355,0.311469515,0.588804647,0.636876871,0.222850024,0.636876871
OS,Proteotoxic Stress,0.946908255,0.172608161,5.022020178,5.194628339,0.868474198,-0.062814843,0.949913947,0.968181522,0.537991828,0.379274387,0.537991828
OS,RAGE Signaling,0.690883316,0.18682942,2.368013153,2.554842573,0.667244372,-0.554196255,0.579444541,0.722601428,0.609556716,0.260820943,0.609556716
OS,RNA Processing,1.838755936,0.426118588,7.508347274,7.934465862,0.745996777,0.816477014,0.414227365,0.609046194,0.14775421,2.095284455,0.14775421
OS,RNA Sensing,0.456085343,0.147623658,1.261458352,1.40908201,0.575527803,-1.364096272,0.172537268,0.5715297,0.85396831,0.033877181,0.85396831
OS,Senescence,0.572151391,0.087556757,3.651243377,3.738800133,0.957730044,-0.582994819,0.559896788,0.706536423,0.251687686,1.313911449,0.251687686
OS,T cell Checkpoints,0.839535493,0.522888962,0.825045105,1.347934067,0.241575676,-0.72402374,0.469051161,0.637428501,0.783497426,0.07549535,0.783497426
OS,T cells,0.745418893,0.445175528,0.802982315,1.248157843,0.263003651,-1.117128772,0.26393927,0.588804647,0.727459527,0.121457065,0.727459527
OS,TCR Signaling,0.302270095,0.081086423,1.045701604,1.126788027,0.671341641,-1.782154172,0.074724094,0.554403101,0.780409465,0.077721339,0.780409465
OS,TGF beta Signaling,0.837337713,0.179578913,3.724746127,3.90432504,0.785531135,-0.225997166,0.821203625,0.88404024,0.937636458,0.006121633,0.937636458
OS,Th1 Differentiation,0.4899185,0.201359338,0.990639697,1.191999035,0.453655268,-1.57281592,0.115761448,0.5715297,0.543739123,0.368653535,0.543739123
OS,Th17 Differentiation,0.773030212,0.389816673,1.143149333,1.532966006,0.349313343,-0.736980572,0.461134164,0.63480807,0.404293604,0.695518644,0.404293604
OS,Th2 Differentiation,0.686680579,0.369573938,0.906301247,1.275875185,0.316086629,-1.189186797,0.234366169,0.588804647,0.362782121,0.828239393,0.362782121
OS,Th9 Differentiation,0.676587141,0.314729644,1.139757304,1.454486947,0.390490468,-1.000521295,0.317058297,0.588804647,0.598500497,0.277263429,0.598500497
OS,TLR Signaling,0.477941458,0.171689401,1.158783165,1.330472565,0.522357159,-1.413337626,0.157556476,0.5715297,0.984807673,0.000362594,0.984807673
OS,TNF Signaling,0.570566006,0.217454374,1.279620905,1.497075279,0.492172211,-1.140101787,0.254243897,0.588804647,0.803232441,0.062083655,0.803232441
OS,Treg Differentiation,0.907217428,0.37210289,1.839767761,2.211870651,0.454708224,-0.214144216,0.830434596,0.88404024,0.360932474,0.834646162,0.360932474
OS,Type I Interferon Signaling,0.666676437,0.304464998,1.155333252,1.45979825,0.399879131,-1.013932516,0.310614955,0.588804647,0.256887382,1.285454171,0.256887382
OS,Type II Interferon Signaling,0.618965996,0.289934243,1.031465054,1.321399297,0.386943942,-1.239727231,0.215076301,0.579584627,0.439203201,0.598363254,0.439203201
OS,Type III Interferon Signaling,0.749212691,0.32716683,1.38853172,1.71569855,0.42273873,-0.683004298,0.494604126,0.657837613,0.203372034,1.617991771,0.203372034
OS,VEGF Signaling,0.119899983,0.017815095,0.789141375,0.80695647,0.972779001,-2.180451426,0.029224016,0.490166263,0.528457011,0.397357709,0.528457011
OS,Vitamin & Cofactor Metabolism,0.765131943,0.412266543,1.007753831,1.420020374,0.315504881,-0.848503464,0.396157644,0.609046194,0.80250665,0.062552187,0.80250665
OS,Wnt Signaling,0.3453453,0.077226468,1.467106452,1.54433292,0.764199013,-1.39127436,0.164142246,0.5715297,0.615872275,0.251711861,0.615872275
PFS,Amino Acid Synthesis & Transport,0.809479145,0.187505974,3.307083935,3.49458991,0.746228152,-0.283243494,0.776990189,0.859299372,0.735150459,0.114434916,0.735150459
PFS,AMPK Signaling,0.794908884,0.237225466,2.426401441,2.663626907,0.616958518,-0.372031142,0.709869663,0.813300968,0.756949404,0.095783583,0.756949404
PFS,Androgen Signaling,0.152905371,0.025877743,0.877603384,0.903481127,0.906361543,-2.071950264,0.03827008,0.755142014,0.731140911,0.118066637,0.731140911
PFS,Angiotensin System,1.011033121,0.659419109,0.890714875,1.550133984,0.218049246,0.050322118,0.959865698,0.985588686,0.818144849,0.052868583,0.818144849
PFS,Apoptosis,0.202159532,0.029157774,1.372474451,1.401632225,0.987944462,-1.618206481,0.105618107,0.755142014,0.776690951,0.080448192,0.776690951
PFS,Arginine Metabolism,0.845434002,0.460162917,1.09311012,1.553273038,0.310347291,-0.541023479,0.588491399,0.798544295,0.950928243,0.003787313,0.950928243
PFS,Autophagy,0.207145428,0.019543237,2.176061735,2.195604972,1.204507746,-1.30703533,0.191200713,0.755142014,0.856784475,0.032569021,0.856784475
PFS,B cells,0.884764549,0.557494896,0.846658422,1.404153318,0.235651379,-0.51955442,0.603374174,0.79947078,0.913706412,0.011742905,0.913706412
PFS,BCR Signaling,0.265753232,0.056779002,1.187074837,1.24385384,0.787464264,-1.682853638,0.092403429,0.755142014,0.735186818,0.114402273,0.735186818
PFS,Cancer Antigens,0.871356099,0.531017838,0.898805038,1.429822876,0.252685827,-0.544963474,0.585778639,0.798544295,0.942679936,0.005169891,0.942679936
PFS,Cell Adhesion & Motility,0.633673565,0.184167214,1.996145871,2.180313085,0.630465576,-0.723626089,0.46929532,0.774311488,0.840972259,0.040260422,0.840972259
PFS,Cell Cycle,0.587039694,0.180377827,1.730143034,1.910520861,0.602071648,-0.884716697,0.376309448,0.755142014,0.440183656,0.595803551,0.440183656
PFS,Chemokine Signaling,0.616444363,0.235034464,1.381765246,1.61679971,0.491966139,-0.983375009,0.325422905,0.755142014,0.858120048,0.031957918,0.858120048
PFS,Cilium Assembly,0.61239021,0.236493429,1.349266361,1.58575979,0.485442214,-1.010183266,0.312407495,0.755142014,0.639675092,0.219167347,0.639675092
PFS,Circadian Clock,0.304451745,0.064411587,1.374628654,1.439040241,0.79247327,-1.500672289,0.133440344,0.755142014,0.859796871,0.031199127,0.859796871
PFS,Complement System,0.887620853,0.504887827,1.055598952,1.560486779,0.287866721,-0.414117317,0.678788191,0.813300968,0.983229814,0.000441834,0.983229814
PFS,Cytotoxicity,0.834908125,0.560822061,0.682124009,1.24294607,0.203023126,-0.888734175,0.374145959,0.755142014,0.831669705,0.045182009,0.831669705
PFS,Dendritic Cells,0.846741643,0.518177741,0.865462183,1.383639924,0.250554252,-0.66396661,0.506711682,0.789874093,0.906029817,0.013935273,0.906029817
PFS,Differentiation,0.439220667,0.072419088,2.591447571,2.663866659,0.919676099,-0.894612064,0.370994501,0.755142014,0.570597843,0.32168322,0.570597843
PFS,DNA Damage Repair,0.590439653,0.182757663,1.724790169,1.907547832,0.598330589,-0.880596538,0.378536233,0.755142014,0.559480949,0.340603722,0.559480949
PFS,DNA Sensing,0.562290042,0.193074011,1.44448503,1.637559041,0.545389724,-1.055644152,0.291130821,0.755142014,0.995287733,3.49E-05,0.995287733
PFS,EGFR Signaling,0.208951498,0.05779418,0.697657819,0.755451999,0.655733522,-2.387636241,0.016957116,0.755142014,0.893593208,0.01789145,0.893593208
PFS,EMT,0.780783962,0.139506199,4.230361238,4.369867437,0.878684237,-0.281621968,0.778233393,0.859299372,0.629559494,0.232658588,0.629559494
PFS,Endocytosis,0.470708894,0.140349714,1.438327267,1.578676981,0.61741062,-1.220444566,0.222296392,0.755142014,0.990582707,0.000139313,0.990582707
PFS,Epigenetic Modification,0.442805931,0.121045988,1.498810201,1.619856189,0.661726984,-1.231057072,0.21830152,0.755142014,0.727089369,0.121800945,0.727089369
PFS,ERBB2 Signaling,0.223424312,0.037468335,1.294814613,1.332282948,0.911025181,-1.645050655,0.099959365,0.755142014,0.837021321,0.042314563,0.837021321
PFS,Estrogen Signaling,0.392793446,0.059333448,2.540999033,2.60033248,0.964359916,-0.969006876,0.332541759,0.755142014,0.126602221,2.333680567,0.126602221
PFS,Fatty Acid Oxidation,0.793241514,0.495319817,0.775035372,1.270355189,0.240271805,-0.964023001,0.335034394,0.755142014,0.839126271,0.041213551,0.839126271
PFS,Fatty Acid Synthesis,1.48404622,0.657933296,2.689508149,3.347441444,0.415019879,0.951212964,0.341496279,0.755142014,0.046888423,3.949387813,0.046888423
PFS,FGFR Signaling,0.426088287,0.153417626,1.029961575,1.183379201,0.521174262,-1.636897234,0.101651944,0.755142014,0.667051026,0.185071018,0.667051026
PFS,FoxO Signaling,0.405001887,0.078099671,2.02212079,2.100220462,0.839763326,-1.076331301,0.281779114,0.755142014,0.832018377,0.044992197,0.832018377
PFS,Glioma,0.431080236,0.088420267,2.013249133,2.1016694,0.808276599,-1.041055802,0.297849651,0.755142014,0.945241197,0.004717484,0.945241197
PFS,Glutamine Metabolism,1.070290563,0.358530246,2.836519273,3.195049519,0.558006386,0.121737255,0.903107107,0.948138772,0.546449979,0.363715444,0.546449979
PFS,Glycan Sensing,0.33928135,0.092794361,1.147710274,1.240504635,0.661463091,-1.634143445,0.102228734,0.755142014,0.813865186,0.055433242,0.813865186
PFS,Glycolysis & Glucose Transport,0.972295393,0.243998308,3.630447944,3.874446252,0.705369272,-0.039831078,0.968227799,0.985588686,0.372471624,0.795402123,0.372471624
PFS,Glycosylation,0.457401997,0.102031992,1.948467883,2.050499875,0.765461125,-1.021858075,0.306848078,0.755142014,0.582854512,0.301642558,0.582854512
PFS,GPCR Signaling,0.791520564,0.370341456,1.321353582,1.691695038,0.387522645,-0.603318084,0.546297105,0.798544295,0.691928375,0.157005719,0.691928375
PFS,Hedgehog Signaling,0.19700928,0.032804947,1.150329318,1.183134264,0.914645133,-1.776103526,0.075715855,0.755142014,0.870572743,0.026546519,0.870572743
PFS,HIF-1 Signaling,1.142423345,0.186269946,6.820394986,7.006664932,0.925379291,0.143888834,0.885588253,0.948138772,0.718937538,0.129512975,0.718937538
PFS,Host Defense Peptides,0.878684698,0.490244018,1.084659031,1.574903048,0.297721218,-0.434396824,0.664000304,0.813300968,0.770826995,0.084851799,0.770826995
