Endpoint,BP,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,BP ZPH P-value
PFS,PDGF Signaling,0.403495312,0.101570278,1.501344183,1.602914461,0.703795545,-1.289565438,0.197201582,0.755142014,0.092182785,2.835836543,0.092182785
PFS,Pentose Phosphate,0.694966154,0.286434657,1.399736843,1.6861715,0.45222908,-0.804663279,0.421014015,0.756398061,0.588797818,0.292225621,0.588797818
PFS,Phagocytosis,0.55371801,0.211508803,1.238093439,1.449602242,0.491023784,-1.20381079,0.228662718,0.755142014,0.505844786,0.442652899,0.505844786
PFS,PI3K/Akt Signaling,0.828987569,0.338168075,1.694017808,2.032185883,0.457489081,-0.4099554,0.681838665,0.813300968,0.977848779,0.000770951,0.977848779
PFS,PPAR Signaling,0.797950487,0.446510852,0.979490279,1.426001131,0.29622118,-0.761960133,0.446083799,0.762659397,0.679686265,0.170479215,0.679686265
PFS,Prostate Cancer,0.565919411,0.144753143,2.067736154,2.212489297,0.695636178,-0.818392735,0.413132969,0.756398061,0.842009532,0.039729942,0.842009532
PFS,Proteotoxic Stress,1.365838,0.258502475,6.958114859,7.216617335,0.849310591,0.367083801,0.71355651,0.813300968,0.413158322,0.669693974,0.413158322
PFS,RAGE Signaling,0.491840658,0.145155483,1.521383242,1.666538724,0.622638653,-1.139666605,0.254425225,0.755142014,0.132351385,2.264705321,0.132351385
PFS,RNA Processing,1.010159076,0.247886159,3.868605713,4.116491872,0.716795566,0.014101398,0.988749085,0.988749085,0.708830765,0.139447627,0.708830765
PFS,RNA Sensing,0.609320741,0.209970699,1.558236803,1.768207502,0.543569582,-0.911402142,0.362083525,0.755142014,0.991116586,0.000123965,0.991116586
PFS,Senescence,0.318381266,0.04958848,1.994568372,2.044156851,0.948737368,-1.206346144,0.227684052,0.755142014,0.859319516,0.031414181,0.859319516
PFS,T cell Checkpoints,0.913706295,0.571473688,0.889414557,1.460888246,0.239438449,-0.376907299,0.706242497,0.813300968,0.958874162,0.002659098,0.958874162
PFS,T cells,0.817971468,0.49451381,0.85848647,1.35300028,0.256766136,-0.782532409,0.433901746,0.762659397,0.8713822,0.026212598,0.8713822
PFS,TCR Signaling,0.390438217,0.110289354,1.271911156,1.38220051,0.644992637,-1.458133758,0.144803678,0.755142014,0.972709821,0.001170313,0.972709821
PFS,TGF beta Signaling,0.976403903,0.202167216,4.513555743,4.715722959,0.803474549,-0.029719601,0.976290679,0.985588686,0.638627126,0.220542164,0.638627126
PFS,Th1 Differentiation,0.752911686,0.326044016,1.412604691,1.738648707,0.427005575,-0.664645517,0.506277249,0.789874093,0.933900858,0.006878708,0.933900858
PFS,Th17 Differentiation,0.918482296,0.464735503,1.350511496,1.815247,0.347585058,-0.244638391,0.806736436,0.88158827,0.761254993,0.092314597,0.761254993
PFS,Th2 Differentiation,0.754741393,0.416539202,0.951002116,1.367541318,0.303268115,-0.927826237,0.353497712,0.755142014,0.7855334,0.074046712,0.7855334
PFS,Th9 Differentiation,0.864962079,0.407402041,1.429013396,1.836415437,0.384132136,-0.377655496,0.705686532,0.813300968,0.759160118,0.093993681,0.759160118
PFS,TLR Signaling,0.594419923,0.222129824,1.368539264,1.590669088,0.502215354,-1.035749433,0.300319054,0.755142014,0.856917132,0.032508055,0.856917132
PFS,TNF Signaling,0.705141646,0.278921441,1.503748036,1.782669478,0.473206924,-0.738274448,0.46034769,0.774311488,0.83761331,0.04200339,0.83761331
PFS,Treg Differentiation,1.205553188,0.50471926,2.374819138,2.879538397,0.444238502,0.420806702,0.673896237,0.813300968,0.620395258,0.245312423,0.620395258
PFS,Type I Interferon Signaling,0.731301406,0.364348899,1.103479733,1.467828632,0.355472742,-0.880319493,0.378686256,0.755142014,0.594815504,0.282886515,0.594815504
PFS,Type II Interferon Signaling,0.717995426,0.357899715,1.082496606,1.44039632,0.355215904,-0.932649908,0.351000756,0.755142014,0.596045255,0.281001949,0.596045255
PFS,Type III Interferon Signaling,0.954480789,0.44975455,1.575869378,2.025623928,0.383918038,-0.121348199,0.903415245,0.948138772,0.741691997,0.10864508,0.741691997
PFS,VEGF Signaling,0.184031418,0.030121865,1.094229595,1.12435146,0.923412465,-1.833036535,0.066797138,0.755142014,0.964660396,0.001963032,0.964660396
PFS,Vitamin & Cofactor Metabolism,0.884074629,0.482865949,1.135777798,1.618643747,0.308578325,-0.399295052,0.689675812,0.813300968,0.955402546,0.003127466,0.955402546
PFS,Wnt Signaling,0.409515721,0.090394514,1.764841149,1.855235663,0.770826264,-1.158211684,0.246777661,0.755142014,0.419193733,0.652574492,0.419193733
