Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
OS,TXK,0.683232691,0.495640592,0.44618483,0.941825422,0.16377058,-2.325935384,0.020021998,0.882016196,0.257874026,1.280134515,0.257874026
OS,TXN2,0.985157167,0.715297626,0.641528693,1.356826319,0.163320589,-0.091562795,0.927045412,0.982382892,0.615775601,0.251849767,0.615775601
OS,TXNIP,0.913002146,0.668735761,0.577754955,1.246490716,0.158854564,-0.572958347,0.566672897,0.882016196,0.596372487,0.280501832,0.596372487
OS,TYK2,1.024935522,0.777009617,0.574959266,1.351968883,0.141294564,0.174314597,0.861618228,0.957591624,0.565713128,0.329908234,0.565713128
OS,TYMP,1.000162314,0.752892692,0.575749045,1.328641738,0.144898004,0.001120107,0.999106284,0.999821193,0.320835941,0.985535704,0.320835941
OS,TYMS,1.198535335,0.883627513,0.742042726,1.625670239,0.155523229,1.164457929,0.244238483,0.882016196,0.150272044,2.069487174,0.150272044
OS,U2AF1,1.179481022,0.856891945,0.766621369,1.623513314,0.163022375,1.012588178,0.311256909,0.882016196,0.946673163,0.004473619,0.946673163
OS,UBA7,0.852917315,0.617353867,0.561010741,1.178364607,0.164911307,-0.964716571,0.334686793,0.882016196,0.492503642,0.471051901,0.492503642
OS,UBB,0.925973575,0.704153711,0.513516592,1.217670303,0.139721459,-0.550449316,0.582011231,0.882016196,0.761493419,0.092124541,0.761493419
OS,UBC,0.998298869,0.740557577,0.605186038,1.345743616,0.152374899,-0.011173623,0.991084924,0.997082779,0.374479551,0.788746087,0.374479551
OS,UBE2C,1.026142841,0.783490299,0.56045631,1.343946609,0.137657406,0.18747236,0.851290293,0.957591624,0.181817813,1.782702598,0.181817813
OS,UBE2T,0.964672506,0.72750636,0.551648155,1.279154515,0.143964855,-0.249829078,0.802719532,0.934024845,0.78298594,0.075861655,0.78298594
OS,ULBP2,0.831105129,0.616000535,0.505322737,1.121323272,0.152813249,-1.21062136,0.226040554,0.882016196,0.754407668,0.097864383,0.754407668
OS,UQCR10,0.935906764,0.672337377,0.630463124,1.302800501,0.168755957,-0.39251603,0.694676969,0.906791231,0.880739337,0.022509613,0.880739337
OS,UQCR11,0.876843237,0.643527263,0.551222527,1.19474979,0.157841591,-0.832651589,0.405041255,0.882016196,0.379964954,0.770815289,0.379964954
OS,UQCRQ,0.878764455,0.657140725,0.517991083,1.175131807,0.148277574,-0.871597663,0.383427906,0.882016196,0.19349258,1.690822509,0.19349258
OS,USP9Y,0.818714085,0.609901567,0.489116354,1.099017921,0.150225894,-1.331463931,0.183036406,0.882016196,0.236879839,1.399067049,0.236879839
OS,UTY,0.876596289,0.652959608,0.523868245,1.176827853,0.150273824,-0.876458193,0.380780994,0.882016196,0.538298082,0.378703197,0.538298082
OS,VCAM1,0.849807477,0.624583477,0.531663485,1.156246962,0.157107395,-1.035886649,0.300255027,0.882016196,0.923098086,0.009318421,0.923098086
OS,VCAN,0.959411709,0.711624165,0.581854714,1.293478879,0.152436668,-0.271817709,0.785762188,0.930721661,0.776581546,0.08052919,0.776581546
OS,VEGFA,1.307212969,0.971393757,0.787734027,1.759127784,0.151492958,1.768381642,0.076997123,0.882016196,0.636887437,0.222836047,0.636887437
OS,VEGFB,0.827290179,0.608685244,0.515720265,1.124405509,0.156561154,-1.211026866,0.225885108,0.882016196,0.392596943,0.730883557,0.392596943
OS,VEGFC,0.85677585,0.636347852,0.51721125,1.153559102,0.151753289,-1.018620073,0.308383371,0.882016196,0.648495378,0.207802352,0.648495378
OS,VEGFD,0.862279974,0.629630092,0.551264471,1.180894564,0.160435357,-0.923582359,0.355703802,0.882016196,0.403064882,0.699163592,0.403064882
OS,VHL,0.826552082,0.622548365,0.474857689,1.097406054,0.144615724,-1.317231234,0.187761127,0.882016196,0.111717203,2.529760056,0.111717203
OS,VSIR,0.888496011,0.658646301,0.539910741,1.198557042,0.152729076,-0.774083911,0.438881171,0.882016196,0.118698814,2.434406479,0.118698814
OS,VTCN1,0.962086053,0.70482603,0.608419415,1.313245445,0.158754393,-0.243466524,0.807644015,0.934024845,0.92487768,0.008890868,0.92487768
