Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
PFS,ROCK1,1.221560383,0.867798536,0.851736247,1.719534784,0.174454602,1.147169763,0.251311466,0.999089333,0.859740502,0.756921926,0.432841599
PFS,ROPN1,1.004658203,0.747844223,0.601819349,1.349663572,0.150619078,0.030855235,0.97538499,0.999089333,0.886798834,0.641805119,0.698430543
PFS,ROR2,0.863338645,0.641906154,0.519250523,1.161156677,0.151209362,-0.971819855,0.331140177,0.999089333,0.952261936,0.340387896,0.923594755
PFS,RORA,1.033233875,0.741367028,0.698637989,1.440005018,0.169366903,0.193033985,0.846932353,0.999089333,0.341326483,3.345744189,0.068540043
PFS,RORC,1.259595608,0.892140271,0.886258427,1.778398698,0.175984166,1.31142891,0.189712897,0.999089333,0.907913118,0.549394444,0.892859492
PFS,RPA3,0.977322888,0.712561325,0.627898779,1.340460104,0.161202507,-0.142294264,0.886847577,0.999089333,0.732704901,1.284971068,0.30630219
PFS,RPL23,0.944941203,0.685563508,0.616888949,1.302452458,0.163718093,-0.345915174,0.729406464,0.999089333,0.766101382,1.145507069,0.431262889
PFS,RPL7A,0.954596721,0.703867344,0.590772772,1.294640116,0.155461562,-0.29889259,0.765022002,0.999089333,0.926857671,0.463389779,0.812635196
PFS,RPLP0,0.949342261,0.688747932,0.619787,1.308534933,0.163724452,-0.317520626,0.750848591,0.999089333,0.948517797,0.359289352,0.828028942
PFS,RPS27A,0.930520541,0.682100957,0.587313005,1.269413961,0.158455194,-0.45445735,0.649499683,0.999089333,0.86961124,0.715250117,0.551931558
PFS,RPS6,0.980472582,0.738144723,0.564210296,1.302355019,0.144846935,-0.136147839,0.89170441,0.999089333,0.824130182,0.90537635,0.474905316
PFS,RPS6KA5,1.198053763,0.900249267,0.694123394,1.594372661,0.145809805,1.239274521,0.215243851,0.999089333,0.643093901,1.672370199,0.574359938
PFS,RPS6KA6,0.823637216,0.560886343,0.648589107,1.209475451,0.196030067,-0.989772236,0.322285458,0.999089333,0.893417008,0.613143413,0.526282503
PFS,RPS6KB1,1.034215601,0.760982168,0.644572332,1.4055545,0.156527683,0.214934928,0.829818052,0.999089333,0.640974899,1.681857023,0.325663779
PFS,RPTOR,0.939632602,0.682061787,0.61240954,1.294471326,0.163456421,-0.380935352,0.70325122,0.999089333,0.696380552,1.4391646,0.254332872
PFS,RRAD,1.070835723,0.793837141,0.650652019,1.44448916,0.152715226,0.448150419,0.654044643,0.999089333,0.879260413,0.67417655,0.684288943
PFS,RRAS2,0.952222077,0.6844763,0.640225349,1.324701649,0.168444045,-0.290642494,0.771324757,0.999089333,0.953565719,0.333725388,0.77944972
PFS,RRM2,0.962140993,0.7242762,0.553848486,1.278124685,0.144894597,-0.266361051,0.789961159,0.999089333,0.820242409,0.921475572,0.390951007
PFS,RSAD2,0.943501855,0.685746686,0.612394113,1.298140798,0.162804029,-0.357220571,0.720926687,0.999089333,0.914293288,0.520823704,0.781831313
PFS,RUNX1,1.091881969,0.7722255,0.771632133,1.543857633,0.17672848,0.497388898,0.618914833,0.999089333,0.915366996,0.515979606,0.895202353
PFS,RUNX1T1,1.204946603,0.882388609,0.76302737,1.645415979,0.158961071,1.172835918,0.240861612,0.999089333,0.294813946,3.707636025,0.069447999
PFS,RUNX3,0.78333893,0.583139331,0.469130421,1.052269752,0.15058405,-1.621618059,0.104885153,0.999089333,0.821957974,0.914372944,0.382903479
PFS,RXRG,0.950264481,0.705973955,0.57311372,1.279087675,0.151616052,-0.336474475,0.736513096,0.999089333,0.503857449,2.345515586,0.187753902
PFS,RYBP,0.847270391,0.607304302,0.574750745,1.182055047,0.169895923,-0.975511354,0.329306673,0.999089333,0.899140152,0.588148107,0.683573328
PFS,S100A12,0.958483783,0.695884549,0.624293006,1.320177555,0.163354468,-0.259574384,0.795192098,0.999089333,0.878250674,0.678492561,0.607804778
PFS,S100A7,0.993880873,0.719283922,0.654025225,1.373309147,0.16498323,-0.03720333,0.970322883,0.999089333,0.891761359,0.620336768,0.574954628
PFS,S100A8,0.814760368,0.610356593,0.477260817,1.08761741,0.147375503,-1.390063018,0.164509742,0.999089333,0.856611696,0.770069898,0.49043026
PFS,S100A9,0.848404368,0.644110613,0.473383739,1.117494351,0.140557124,-1.169616334,0.242155401,0.999089333,0.893279465,0.613741616,0.600692416
PFS,S100B,0.866016199,0.62710461,0.568842677,1.195947287,0.164691927,-0.873459114,0.382412882,0.999089333,0.759055194,1.174796855,0.450287005
PFS,SAA1,1.01758493,0.741165637,0.655929746,1.397095384,0.161718916,0.107792613,0.914160203,0.999089333,0.377169673,3.095261385,0.136546431
PFS,SAMD9,0.932873617,0.65088481,0.686146217,1.337031027,0.183644727,-0.378369404,0.705156193,0.999089333,0.940472928,0.398884046,0.940968695
PFS,SAMSN1,0.891383031,0.656514744,0.553760753,1.210275497,0.156038108,-0.73687804,0.46119652,0.999089333,0.954528088,0.328779046,0.995568127
